"Exportación de datos generados en Wed Apr 03 16:39:15 PDT 2024"
"Survey ID 12047672"
"Dashboard Name My Dashboard"
"ID de respuesta","Estado de respuesta","Dirección IP","Marca de tiempo (mm/dd/yyyy)","Duplicar","Tiempo necesario para completar (segundos)","Seq. Número","Referencia externa","Variable personalizada 1","Variable personalizada 2","Variable personalizada 3","Variable personalizada 4","Variable personalizada 5","Correo electrónico del encuestado","Lista de correo","Código de país","Región","¿Cuál es tu género?","¿Qué edad tienes?","¿En qué carrera estás inscrito/a?","¿Qué áreas te interesan dentro de tu carrera?","","","","","¿Posees experiencia laboral en tu campo de estudios?","¿En qué actividades te gustaría ver más a tu universidad participar y darse a conocer?","","","","","","¿Qué motivos te han hecho cursar tus estudios en esta universidad?","","","","","","","¿En qué medio o plataforma obtuviste información sobre tu universidad antes de ingresar?","¿Crees que tu universidad ofrece suficientes oportunidades para involucrarse en proyectos y actividades relacionadas con tu carrera?","¿Qué tipos de eventos o actividades te gustaría ver más en tu universidad?","","","","","","","¿Qué factores crees que deberían impulsar a tu universidad a mejorar y crecer en la próxima década?","","","","","¿En qué redes sociales ves más activa a tu universidad?","¿Crees que tu universidad está haciendo un esfuerzo suficiente para promover la igualdad de género?","¿En qué áreas crees que tu universidad debería enfocarse más para mejorar su reputación?","","","","","¿En qué actividades extracurriculares participas?","¿Con qué frecuencia asistes a los eventos organizados por tu universidad?","¿En qué áreas de la universidad te gustaría involucrarte más?","","","","","¿Qué medios prefieres para recibir comunicaciones importantes de tu universidad?",""
"","","","","","","","","","","","","","","","","","","","","Desarrollo de Software","Redes y Comunicaciones","Seguridad Informática","Inteligencia artificial","otro(s)","","Eventos deportivos","Eventos culturales","Eventos comunitarios","Ferias de empleo","Conferencias y charlas","Actividades de voluntariado","Calidad de la educación","Variedad de programas académicos","Oportunidades de prácticas y trabajo","Becas y financiamiento","Prestigio de la universidad","variedad de Cursos y Diplomados","Opciones de formación profesional Postgrados","","","Conferencias con expertos en la industria","Ferias de empleo y prácticas","Seminarios y talleres sobre temas actuales","Actividades culturales y artísticas","Eventos de networking con ex alumnos","Hackathons y Competencias Técnicas","Visitas a Empresas","Colaboraciones internacionales","Investigación y desarrollo","Diversificación de programas académicos","Centros de Innovación y Emprendimiento","Programas de Mentoría y Tutoría","","","Investigación y desarrollo","Relaciones con la comunidad","Atención al estudiante","Actividades extracurriculares","Instalaciones y servicios","","","Investigación","Servicio comunitario","Organización estudiantil","Deportes y actividades recreativas","Arte y cultura","",""
"128668420","Completed","190.202.82.146","04/02/2024 16:48:32","0","463","1","","","","","","","","","VE","","","","2","","","","","","","","","","1","","","","","1","","","","","2","1","1","1","1","","","","","1","","","","","5","3","","","","1","","","","","","","1","","1",""
"128671672","Completed","181.208.241.214","04/02/2024 17:12:57","0","204","1","","","","","","","","","VE","A","1","2","2","","1","","","","2","","","","","1","","","1","","","","","1","2","1","","","","","1","1","1","","","1","","","2","1","1","1","","","","","5","1","","","1","","1",""
"128674035","Completed","186.14.187.161","04/02/2024 17:40:43","0","333","1","","","","","","","","","VE","","1","2","2","","1","1","","","2","","1","1","","1","","","1","1","1","","","1","2","1","1","","1","","1","1","","","1","1","","","2","1","1","1","","","","6","5","1","","1","","","1",""
"128674125","Completed","186.167.206.46","04/02/2024 17:42:29","0","255","1","","","","","","","","","VE","A","1","2","2","1","","","","","2","","","","","","1","","1","","","","","","5","1","","","","","","","1","1","","","","","2","1","1","1","1","","1","6","5","1","","","","","3",""
"128674717","Completed","181.208.241.214","04/02/2024 17:55:27","0","51","1","test_response","","","","","","","","VE","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128677642","Completed","200.109.236.123","04/02/2024 18:52:01","0","179","1","","","","","","","","","VE","","1","2","2","","1","","","1","2","","","1","1","1","","1","","1","","","","","2","3","","1","1","","","","1","1","1","1","1","1","5","3","1","","1","","1","6","5","1","","","","","1",""
"128677815","Completed","38.41.4.110","04/02/2024 18:53:52","0","201","1","","","","","","","","","VE","A","1","2","2","1","1","","","","1","","","","1","1","","1","","1","","","1","","3","1","1","","","","","","1","","1","","1","","5","1","1","","","","","6","5","1","","","","","1",""
"128685337","Completed","186.188.90.159","04/02/2024 20:36:42","0","164","1","","","","","","","","","VE","A","1","2","1","","","","1","","1","1","","","1","","","","1","1","","","1","","2","1","","1","1","","1","","1","1","1","","1","","5","3","","1","","","","","5","","1","","1","","1",""
"128687763","Completed","186.188.88.162","04/02/2024 21:14:26","0","5087","1","","","","","","","","","VE","A","1","2","1","1","","1","1","","2","1","","","1","1","1","","","1","1","1","1","","2","3","1","1","1","","","","","1","1","1","","","5","3","1","","1","1","1","6","2","1","","","1","","4",""
"128690720","Completed","190.74.223.104","04/02/2024 22:06:23","0","208","1","","","","","","","","","VE","D","2","2","1","1","1","","1","","2","","","","","1","","1","1","1","","","","1","5","1","1","1","","","","","1","1","1","1","1","","5","1","1","","1","1","1","6","5","1","","","","","3",""
"128691321","Completed","186.14.203.215","04/02/2024 22:18:05","0","248","1","","","","","","","","","VE","A","1","2","1","1","","1","1","","2","1","","1","1","","1","1","1","","","","","","2","1","1","1","","","","","1","1","1","","1","1","2","1","","","","1","1","5","5","","","","1","","1",""
"128693749","Completed","201.209.57.180","04/02/2024 23:07:02","0","174","1","","","","","","","","","VE","","1","2","1","1","1","1","1","","1","","","","1","1","","1","","","","1","1","1","2","1","1","1","1","","1","1","1","1","1","1","1","1","2","3","1","","1","1","","6","5","1","","","","","3",""
